Acc,Name,Pconf,Distri,RTs
1.0,1.0,7.0,-34.5,228.0
1.0,1.0,6.0,-3.2,430.0
1.0,1.0,6.0,-14.95,284.0
1.0,1.0,6.0,-3.2,186.0
1.0,1.0,7.0,34.5,196.0
1.0,1.0,5.0,-3.2,292.0
1.0,1.0,6.0,-14.95,208.0
-1.0,1.0,7.0,3.2,298.0
1.0,1.0,5.0,14.95,246.0
1.0,1.0,4.0,-14.95,330.0
1.0,1.0,7.0,-34.5,196.0
1.0,1.0,6.0,-14.95,220.0
1.0,1.0,7.0,-34.5,150.0
-1.0,1.0,7.0,14.95,320.0
1.0,1.0,7.0,-3.2,230.0
-1.0,1.0,2.0,3.2,286.0
1.0,1.0,7.0,14.95,256.0
-1.0,1.0,4.0,3.2,296.0
1.0,1.0,5.0,3.2,90.0
1.0,1.0,6.0,14.95,210.0
-1.0,1.0,6.0,3.2,338.0
1.0,1.0,7.0,14.95,262.0
-1.0,1.0,2.0,-3.2,312.0
1.0,1.0,7.0,-14.95,208.0
1.0,1.0,6.0,-34.5,94.0
1.0,1.0,6.0,14.95,214.0
1.0,1.0,4.0,-14.95,218.0
1.0,1.0,7.0,3.2,332.0
1.0,1.0,7.0,3.2,170.0
-1.0,1.0,7.0,3.2,252.0
1.0,1.0,5.0,14.95,258.0
-1.0,1.0,4.0,-3.2,252.0
1.0,1.0,5.0,-3.2,284.0
-1.0,1.0,5.0,-3.2,402.0
1.0,1.0,7.0,34.5,158.0
-1.0,1.0,7.0,-3.2,246.0
1.0,1.0,6.0,-34.5,282.0
1.0,1.0,7.0,-14.95,232.0
1.0,1.0,7.0,14.95,316.0
1.0,1.0,6.0,14.95,184.0
1.0,1.0,7.0,34.5,148.0
1.0,1.0,7.0,-14.95,274.0
1.0,1.0,3.0,14.95,234.0
1.0,1.0,3.0,3.2,422.0
1.0,1.0,6.0,-3.2,364.0
1.0,1.0,7.0,-3.2,312.0
1.0,1.0,6.0,-3.2,320.0
-1.0,1.0,7.0,3.2,172.0
1.0,1.0,6.0,14.95,202.0
1.0,1.0,7.0,-14.95,274.0
1.0,1.0,7.0,-34.5,172.0
1.0,1.0,3.0,14.95,400.0
1.0,1.0,7.0,-3.2,242.0
1.0,1.0,3.0,14.95,340.0
