Name,Run,Session,Trial,AngleValue,Rt1,Resp1,Acc,DurIntFeed,PreviousTrialR,PreviousTrialCoh
1,1,1,1,-0.8,0.444816,1,1.0,0.1,0.0,-100.0
1,1,1,2,-0.8,0.440646,1,1.0,0.1,1.0,-0.8
1,1,1,3,0.2,0.38947,1,-1.0,0.1,1.0,-0.8
1,1,1,4,-0.2,0.428172,1,1.0,1.1,-1.0,0.2
1,1,1,5,-0.2,0.67398,0,-1.0,0.1,1.0,-0.2
1,1,1,6,0.2,0.452992,1,-1.0,0.1,-1.0,-0.2
1,1,1,7,0.8,0.48915,0,1.0,1.1,-1.0,0.2
1,1,1,8,0.2,0.523934,1,-1.0,0.1,1.0,0.8
1,1,1,9,0.2,0.56511,0,1.0,0.1,-1.0,0.2
1,1,1,10,0.2,0.724575,1,-1.0,0.1,1.0,0.2
1,1,1,11,-0.2,0.654016,1,1.0,0.1,-1.0,0.2
1,1,1,12,-1.6,0.506056,1,1.0,1.1,1.0,-0.2
1,1,1,13,0.2,0.452189,1,-1.0,0.1,1.0,-1.6
1,1,1,14,1.6,0.416227,0,1.0,0.1,-1.0,0.2
1,1,1,15,-0.2,0.533594,1,1.0,0.1,1.0,1.6
1,1,1,16,1.6,0.422185,0,1.0,0.1,1.0,-0.2
1,1,1,17,-0.2,0.555651,1,1.0,0.1,1.0,1.6
1,1,1,18,0.8,0.411669,0,1.0,1.1,1.0,-0.2
1,1,1,19,-0.2,0.513759,1,1.0,0.1,1.0,0.8
1,1,1,20,-0.2,0.523958,1,1.0,0.1,1.0,-0.2
1,1,1,21,-0.8,0.461082,1,1.0,1.1,1.0,-0.2
1,1,1,22,-1.6,0.417274,1,1.0,0.1,1.0,-0.8
1,1,1,23,-0.8,0.518743,1,1.0,0.1,1.0,-1.6
1,1,1,24,0.8,0.464256,0,1.0,0.1,1.0,-0.8
1,1,1,25,0.8,0.523985,1,-1.0,0.1,1.0,0.8
1,1,1,26,0.2,0.445542,0,1.0,0.1,-1.0,0.8
1,1,1,27,-1.6,0.53818,1,1.0,0.1,1.0,0.2
1,1,1,28,0.8,0.451041,0,1.0,0.1,1.0,-1.6
1,1,1,29,1.6,0.559065,0,1.0,0.1,1.0,0.8
1,1,1,30,0.8,0.583251,0,1.0,0.1,1.0,1.6
1,1,1,31,-1.6,0.501837,1,1.0,1.1,1.0,0.8
1,1,1,32,-0.2,0.695877,1,1.0,0.1,1.0,-1.6
1,1,1,33,0.2,0.506679,1,-1.0,0.1,1.0,-0.2
1,1,1,34,0.8,0.388829,0,1.0,1.1,-1.0,0.2
