Name,Run,Session,Trial,AngleValue,Rt1,Resp1,Acc,PreviousTrialR,PreviousTrialCoh,Resp2,PreviousTrialConf
1,1,1,1,-0.2,0.455233,0,-1.0,0.0,-100.0,6,-100
1,1,1,2,-0.2,1.31333,1,1.0,-1.0,-0.2,6,6
1,1,1,3,-0.8,0.581749,1,1.0,1.0,-0.2,8,6
1,1,1,4,-0.8,0.57376,1,1.0,1.0,-0.8,8,8
1,1,1,5,-1.6,0.642411,1,1.0,1.0,-0.8,7,8
1,1,1,6,0.8,0.443148,0,1.0,1.0,-1.6,7,7
1,1,1,7,0.2,0.506833,0,1.0,1.0,0.8,7,7
1,1,1,8,1.6,0.433857,0,1.0,1.0,0.2,7,7
1,1,1,9,-0.8,0.400242,1,1.0,1.0,1.6,6,7
1,1,1,10,0.8,0.439799,0,1.0,1.0,-0.8,8,6
1,1,1,11,0.8,0.458477,0,1.0,1.0,0.8,8,8
1,1,1,12,0.2,0.691861,1,-1.0,1.0,0.8,5,8
1,1,1,13,-0.2,0.452695,1,1.0,-1.0,0.2,7,5
1,1,1,14,-0.8,0.495399,1,1.0,1.0,-0.2,7,7
1,1,1,15,0.8,0.457626,0,1.0,1.0,-0.8,8,7
1,1,1,16,-0.8,0.501004,1,1.0,1.0,0.8,7,8
1,1,1,17,-1.6,0.448602,1,1.0,1.0,-0.8,7,7
1,1,1,18,0.8,0.445321,0,1.0,1.0,-1.6,8,7
1,1,1,19,0.2,0.476674,1,-1.0,1.0,0.8,0,8
1,1,1,20,0.2,0.551504,0,1.0,-1.0,0.2,7,0
1,1,1,21,0.2,0.532365,0,1.0,1.0,0.2,7,7
1,1,1,22,-0.2,0.554438,1,1.0,1.0,0.2,6,7
1,1,1,23,-0.2,0.804683,1,1.0,1.0,-0.2,4,6
1,1,1,24,0.8,0.456812,0,1.0,1.0,-0.2,8,4
1,1,1,25,-0.8,0.616837,0,-1.0,1.0,0.8,4,8
1,1,1,26,0.8,0.566376,0,1.0,-1.0,-0.8,5,4
1,1,1,27,0.8,0.463746,0,1.0,1.0,0.8,7,5
1,1,1,28,0.8,0.498605,0,1.0,1.0,0.8,7,7
1,1,1,30,0.2,0.600314,1,-1.0,0.0,-0.2,5,1
1,1,1,31,1.6,0.501016,0,1.0,-1.0,0.2,7,5
1,1,1,32,-0.2,0.664539,0,-1.0,1.0,1.6,1,7
1,1,1,33,-1.6,0.424719,1,1.0,-1.0,-0.2,8,1
1,1,1,34,0.8,0.40224,0,1.0,1.0,-1.6,8,8
1,1,1,35,0.2,0.872985,0,1.0,1.0,0.8,6,8
1,1,1,36,-0.2,0.616484,0,-1.0,1.0,0.2,2,6
1,1,1,37,1.6,0.378111,0,1.0,-1.0,-0.2,8,2
1,1,1,38,-0.8,0.458098,0,-1.0,1.0,1.6,0,8
1,1,1,40,0.2,0.53326,0,1.0,0.0,0.2,7,0
1,1,1,41,-0.2,0.5486,0,-1.0,1.0,0.2,3,7
1,1,1,42,-0.8,0.696948,1,1.0,-1.0,-0.2,6,3
1,1,1,43,-1.6,0.511568,1,1.0,1.0,-0.8,6,6
1,1,1,44,-0.2,0.685689,1,1.0,1.0,-1.6,6,6
